Address,House_Size,Last_Sold Price,Zillow_Estimate
255 DOWNEY ST,1.683,506,1511.798
4845 17TH ST,2.65,162.5,1981.286
1158 CAPITOL AVE,1.125,153,882.611
184 BURLWOOD DR,1.254,81,1086.365
79 GAVIOTA WAY,1.593,881,1446.701
2342 41ST AVE,2.68,340,1487.369
88 FREDERICK ST,2.418,906.667,2108.878
432 25TH AVE,1,44,1085.14
1163 FELL ST,2.964,240,2216.992
2618 MCALLISTER ST,2.226,940,1672.612
455 LOS PALMOS DR,1.024,143,1038.977
49 ZOE ST,0.86,248.5,859.405
845 LAKE ST,1.164,900,1164.677
1103 RIVERA ST,2.3,725,1311.791
2035 30TH AVE,1.2,246,1020.332
2651 17TH AVE,1.5,360,1241.837
65 ROCKWOOD CT,1.593,1000,1504.444
566 ARLINGTON ST,2.112,610,1464.251
2908 JUDAH ST,1.985,730,1365.569
2638 22ND AVE,1.77,600,1335.692
187 DIVISADERO ST,2.13,96.5,2673.637
79 MIRAMAR AVE,1.556,568,997.392
2122 LAKE ST,2.86,760,4282.793
957 SHOTWELL ST,1.932,22.6,1619.513
74 CRAGMONT AVE,1.075,771,1204.166
2691 44TH AVE,0.893,251,905.251
608 HAMPSHIRE ST,1.387,680,1243.603
1365 DOLORES ST,1.749,1700,1559.174
97 MANCHESTER ST,1.25,250,1322.22
3519 BRODERICK ST,1.975,137,2977.496
3137 STEINER ST,2.516,250,3149.29
70 MARGARET AVE,1.266,230,830.476
1986 PALOU AVE,1.074,145.5,818.653
8200 OCEANVIEW TER,0.725,300,518.771
19 PASADENA ST,0.9,570,649.655
220 NOE ST,1.75,55,1569.98
351 MUNICH ST,1.125,336,785.464
2381 18TH AVE,2.892,395,1593.865
1436 MORAGA ST,1.273,25.8,1033.198
1833 28TH AVE,1.162,79,1010.451
342 BRIDGEVIEW DR,1.006,542.1,759.687
827 VICTORIA ST,2.514,373,1886.541
2271 34TH AVE,1.535,738,1211.846
1835 14TH AVE,2.624,275,1689.351
2700 39TH AVE,1.011,142,939.894
898 BRUSSELS ST,1.226,32,780.867
236 NIAGARA AVE,1.056,580,853.681
1850 19TH AVE,1.2,510,1100.637
430 HARKNESS AVE,1,217.5,734.841
150 CASTRO ST,1.15,415,1547.054
22 CHANCERY LN,1.964,164,1014.575
2812 BUSH ST,3.477,765.5,2976.455
566 SOUTH VAN NESS AVE,0.808,950,898.52
150 LOMBARD ST,1.333,741,1250.298
1631 PALOU AVE,0.716,195,727.575
1874 22ND AVE,1.562,170,1080.401
2040 LAGUNA ST,0.92,273,1054.532
2135 26TH AVE,2.12,184.5,1374.811
901 BAY SHORE BLVD,0.563,310,313.567
123 DELLBROOK AVE,1.576,750,1428.658
707 GUERRERO ST,1.238,778,1338.619
2367 46TH AVE,1.92,550,1226.77
211 TEXAS ST,3.45,1500,2497.873
175 RED ROCK WAY,0.592,411,514.211
1408 VISITACION AVE,1.268,456,785.712
1836 SANTIAGO ST,1.7,888,1308.451
1300 EDDY ST,1.9,180,1240.039
909 CENTRAL AVE,2.403,1650,1946.036
1471 47TH AVE,1.271,630,1024.864
2129 18TH AVE,1.42,1200,1284.6
2408 GREEN ST,1.51,1400,1809.896
2574 16TH AVE,1.9,329,1488.88
24 PROGRESS ST,1.583,226,823.144
1639A KIRKWOOD AVE,2.668,600,1128.881
517 ELIZABETH ST,3.324,150,2697.836
4545 18TH ST,3.267,1526,2193.312
877 INDIANA ST,1.076,695,1143.129
54 CARMELITA ST,3.117,1830,2735.944
2525 LINCOLN WAY,1.975,333,1421.72
1707 26TH AVE,1.409,58.5,1043.415
1430 NEWCOMB AVE,1.375,213,799.656
2202 SUTTER ST,1.353,725,1418.985
410 30TH ST,2.107,432.5,1770.182
3127 IRVING ST,1.85,400,1377.337
2338 48TH AVE,1.475,895,1035.802
2511 22ND AVE,2.52,575,1525.247
327 FULTON ST,0.9,699,852.98
2537 22ND AVE,1.36,278,1113.048
1262 FUNSTON AVE,1.811,580,1496.23
2526 42ND AVE,1.981,27,1265.634
1118 CAPITOL AVE,2.4,70,1173.929
1337 GENEVA AVE,2.171,210,997.921
1114 CLAY ST,3,598,2771.584
65 DORANTES AVE,2.28,720,2067.876
1839 15TH ST,0.621,320,649.767
1684 MCKINNON AVE,1.222,231,887.938
3315 CESAR CHAVEZ ST,1.66,1115,1506.811
2990 CLAY ST,1.35,640,1594.992
167 ROME ST,1.2,680,842.936
560 46TH AVE,1.258,1150,1034.406
210 SANTA ANA AVE,1.701,890,1574.782
709 KIRKHAM ST,1.35,263,1250.627
153 BRADFORD ST,0.9,215,1074.635
156 ALLISON ST,2.921,265,1207.156
91 SAN DIEGO AVE,1.04,225,719.063
245 LAUSSAT ST,0.923,753,1039.85
50 MENDELL ST,2.077,300,1561.682
1325 30TH AVE,1.415,37,1223.839
1614 ULLOA ST,1.813,270,1417.568
95 MOLIMO DR,1.172,144,1109.166
901 BUSH ST,0.648,125,654.988
251 VICENTE ST,2.67,1300.5,1735.269
610 BACON ST,1.8,212.5,1005.941
1587 22ND AVE,1.505,968,1141.006
2091 10TH AVE,2.4,177,1527.736
100 LAIDLEY ST,1.078,900,1609.565
145 PARIS ST,1,120,799.491
2410 PACIFIC AVE,0.87,730,902.965
39 TULANE ST,0.93,240,753.642
206 ANDOVER ST,1.25,429,1347.08
2362 34TH AVE,2.647,240,1491.884
920 RUTLAND ST,1.859,800,870.905
1471 43RD AVE,1.493,335,1026.117
470 LISBON ST,1.925,215,994.645
297 LOBOS ST,1.028,38.5,794.507
